"BIBTEXKEY","TITLE","method_focus","sentence_length","full_sentence_with_ref","sentence","bib_reference"
"britschgi_d4_2009","D4. 2 utilisation of advanced information by private end users","General Methodology",1122,"title: d4. 2 utilisation of advanced information by private end users  abstract: d4.2 utilisation of advanced information by private end users project: roadidea 215455 document number and title: d4.2 utilisation of advanced information by private end users work-package: wp4 deliverable type: report contractual date of delivery: 30.07.2009 actual date of delivery: 09.10.2009 author/responsible(s): matti roine (vtt) contributors: virpi britschgi/vtt, sami koskinen/vtt, risto kulmala/vtt, pekka leviäkangagas/vtt, mikko tarkiainen/vtt, risto öörni/vtt, iris karvonen/vtt, hanne lindqvist/destia, sarah stern/university of berkeley, jankó domokos/rods, djurdjica marcovic/meti approval of this report: tcc summary of this report: report analyses utilisation of advanced information for driver and traveller support services, the state-of-the art of the main services and directions of development in the form of emerging services, summarises the barriers and problems related to the development of services and applications and suggests next steps in the development of architecture, standardisation, and business-models. [@britschgi_d4_2009]","title: d4. 2 utilisation of advanced information by private end users  abstract: d4.2 utilisation of advanced information by private end users project: roadidea 215455 document number and title: d4.2 utilisation of advanced information by private end users work-package: wp4 deliverable type: report contractual date of delivery: 30.07.2009 actual date of delivery: 09.10.2009 author/responsible(s): matti roine (vtt) contributors: virpi britschgi/vtt, sami koskinen/vtt, risto kulmala/vtt, pekka leviäkangagas/vtt, mikko tarkiainen/vtt, risto öörni/vtt, iris karvonen/vtt, hanne lindqvist/destia, sarah stern/university of berkeley, jankó domokos/rods, djurdjica marcovic/meti approval of this report: tcc summary of this report: report analyses utilisation of advanced information for driver and traveller support services, the state-of-the art of the main services and directions of development in the form of emerging services, summarises the barriers and problems related to the development of services and applications and suggests next steps in the development of architecture, standardisation, and business-models.","[@britschgi_d4_2009]"
"britschgi_d4_2009","D4. 2 utilisation of advanced information by private end users","General Methodology",129,"keyword list: mobility services, traffic information, weather information, navigation, safety systems, business models, standards [@britschgi_d4_2009]","keyword list: mobility services, traffic information, weather information, navigation, safety systems, business models, standards","[@britschgi_d4_2009]"
"borsuk_stochastic_2009","Stochastic population dynamic models as probability networks","Simulation",67,"title: stochastic population dynamic models as probability networks [@borsuk_stochastic_2009]","title: stochastic population dynamic models as probability networks","[@borsuk_stochastic_2009]"
"bojke_characterizing_2009","Characterizing structural uncertainty in decision analytic models: a review and application of methods","General Methodology",166,"title: characterizing structural uncertainty in decision analytic models: a review and application of methods      annotation: export date: 05 may 2024; cited by: 126 [@bojke_characterizing_2009]","title: characterizing structural uncertainty in decision analytic models: a review and application of methods      annotation: export date: 05 may 2024; cited by: 126","[@bojke_characterizing_2009]"
"bogen_probabilistic_2009","Probabilistic exposure analysis for chemical risk characterization","General Methodology",73,"title: probabilistic exposure analysis for chemical risk characterization [@bogen_probabilistic_2009]","title: probabilistic exposure analysis for chemical risk characterization","[@bogen_probabilistic_2009]"
"bielza_modeling_2009","Modeling challenges with influence diagrams: representation issues","General Methodology",73,"title: modeling challenges with influence diagrams: representation issues [@bielza_modeling_2009]","title: modeling challenges with influence diagrams: representation issues","[@bielza_modeling_2009]"
"bickel_analysis_2009","An analysis of climate engineering as a response to climate change","General Methodology",73,"title: an analysis of climate engineering as a response to climate change [@bickel_analysis_2009]","title: an analysis of climate engineering as a response to climate change","[@bickel_analysis_2009]"
"bhattacharjya_decision_2009","Decision circuits: a graphical representation for efficient decision analysis computation","General Methodology",118,"title: decision circuits: a graphical representation for efficient decision analysis computation    keywords: stanford [@bhattacharjya_decision_2009]","title: decision circuits: a graphical representation for efficient decision analysis computation    keywords: stanford","[@bhattacharjya_decision_2009]"
"bewley_modeling_2009","Modeling precision dairy farming technology investment decisions","General Methodology",71,"title: modeling precision dairy farming technology investment decisions [@bewley_modeling_2009]","title: modeling precision dairy farming technology investment decisions","[@bewley_modeling_2009]"
"besbes_dynamic_2009","Dynamic pricing without knowing the demand function: risk bounds and near-optimal algorithms","General Methodology",99,"title: dynamic pricing without knowing the demand function: risk bounds and near-optimal algorithms [@besbes_dynamic_2009]","title: dynamic pricing without knowing the demand function: risk bounds and near-optimal algorithms","[@besbes_dynamic_2009]"
