date,bibref,method_category,sentence
2009,backValueInformationAnalysis2009,No specific method identified,"Value of Information Analysis for Site Investigation Programs Accounting for Variability, Uncertainty and Scale Effects with the \""Asp\""o HRL Prototype Repository as an Example"
2009,bakerImplementingUncertaintyLearning2009,No specific method identified,Implementing Uncertainty and Learning in Climate Change Policy Analysis
2009,bansbackStatinTherapyRheumatoid2009,No specific method identified,Statin Therapy in Rheumatoid Arthritis: A Cost-Effectiveness and Value-of-Information Analysis
2009,barclayMorePracticalApproach2009,No specific method identified,Toward a More Practical Approach to Evaluating Programs: The Multi-Objective Realization Approach
2009,barendrechtUnderstandingMarketJustice2009,No specific method identified,Understanding the Market for Justice
2009,bauerleBayesianApproachIncorporate2009,Bayesian Methods,A Bayesian Approach to Incorporate Model Ambiguity in a Dynamic Risk Measure
2009,benarochIntegrativeEconomicOptimization2009,Optimization Methods,An Integrative Economic Optimization Approach to Systems Development Risk Management
2009,berbecIntelligenceNetworksModel2009,No specific method identified,Intelligence Networks--the Model Based Methodologies Problem
2009,bergsengAspectsGroupStreptococcus2009,No specific method identified,Aspects of Group B Streptococcus (GBS) Disease in the Newborn
2009,besbesDynamicPricingKnowing2009,No specific method identified,Dynamic Pricing without Knowing the Demand Function: Risk Bounds and near-Optimal Algorithms
2009,bielzaModelingChallengesInfluence2009,Decision Trees and Networks,Modeling Challenges with Influence Diagrams: Representation Issues
2009,blackClinicalEffectivenessGlucosamine2009,No specific method identified,The Clinical Effectiveness of Glucosamine and Chondroitin Supplements in Slowing or Arresting Progression of Osteoarthritis of the Knee: A Systematic Review and Economic Evaluation
2009,bogenProbabilisticExposureAnalysis2009,Probabilistic Methods,Probabilistic Exposure Analysis for Chemical Risk Characterization
2009,bojkeCharacterizingStructuralUncertainty2009,No specific method identified,Characterizing Structural Uncertainty in Decision Analytic Models: A Review and Application of Methods
2009,borsukStochasticPopulationDynamic2009,Probabilistic Methods,Stochastic Population Dynamic Models as Probability Networks
2009,bottiniFoodThoughtEconomics2009,No specific method identified,Food for Thought on the Economics of Animal Testing
2009,boumaAssessingValueInformation2009,No specific method identified,Assessing the Value of Information for Water Quality Management in the North Sea
2009,bowmanSensorBasedCondition2009,No specific method identified,Sensor Based Condition Monitoring
2009,broomellWhyAreExperts2009,No specific method identified,Why Are Experts Correlated? Decomposing Correlations between Judges
2009,brownJournalInfectionPrevention2009,No specific method identified,Journal of Infection Prevention
2009,brownShouldUKGovernments2009,No specific method identified,Should the UK Government's Deep Cleaning of Hospitals Programme Have Been Evaluated?
2009,byerAddressingCommunicatingClimate2009,No specific method identified,Addressing and Communicating Climate Change and Its Uncertainties in Project Environmental Impact Assessments
2009,caballeroGoalProgrammingRealistic2009,Multi-Criteria Decision Analysis,Goal Programming: Realistic Targets for the near Future
2009,caiCostlyParticipationHeterogeneous2009,No specific method identified,Costly Participation and Heterogeneous Preferences in Informational Committees
2009,caiImprovingSupplyChain2009,No specific method identified,Improving Supply Chain Performance Management: A Systematic Approach to Analyzing Iterative KPI Accomplishment
2009,caneAnalyzingFactorsThat2009,No specific method identified,Analyzing the Factors That Affect Information Systems Use: A Task-Technology Fit Meta-Analysis
2009,canete-valdeonIntentionalRelationshipRepresentation2009,No specific method identified,The Intentional Relationship of Representation between the Constructs of a Language and Reality
2009,carlosrocaImportancePerceivedTrust2009,No specific method identified,"The Importance of Perceived Trust, Security and Privacy in Online Trading Systems"
2009,carltonHowShouldEconomic2009,No specific method identified,How Should Economic Evidence Be Presented and Evaluated
2009,carterCompetencyCodesMarketing2009,No specific method identified,Competency Codes: Marketing Management for the Digital Future
2009,cartonEmergingConflictCollaborative2009,No specific method identified,Emerging Conflict in Collaborative Mapping: Towards a Deeper Understanding?
2009,catenacciPotentialsBayesianNetworks2009,Bayesian Methods,Potentials of Bayesian Networks to Deal with Uncertainty in Climate Change Adaptation Policies
2009,ceglowskiImprovingPatientSatisfaction2009,No specific method identified,Improving Patient Satisfaction with Elective Surgery Waiting: An Empowerment Perspective
2009,chalkidouComparativeEffectivenessResearch2009,Bayesian Methods,Comparative Effectiveness Research Priorities: Identifying Critical Gaps in Evidence for Clinical and Health Policy Decision Making
2009,chenCommunicationTwosidedAsymmetric2009,No specific method identified,Communication with Two-Sided Asymmetric Information
2009,cheneOptionsClinicalTrials2009,No specific method identified,Options for Clinical Trials of Pre and Post-Natal Treatments for Congenital Toxoplasmosis
2009,chenIdentificationCriticalFactors2009,No specific method identified,Identification of Critical Factors for Effective Strategic Investment Decisions
2009,chibelushiChallengesFacingMidlands2009,No specific method identified,Challenges Facing W. Midlands ICT-oriented SMEs
2009,chiHowHaveBanks2009,No specific method identified,How Have Banks Fared Following a Borrower's Financial Distress?
2009,chooInformationUseEarly2009,No specific method identified,Information Use and Early Warning Effectiveness: Perspectives and Prospects
2009,clemonsComplexProblemMonetizing2009,No specific method identified,The Complex Problem of Monetizing Virtual Electronic Social Networks
2009,condillGIVESInterlendingDiscovery2009,No specific method identified,GIVES: Interlending and Discovery for Non-English Resources
2009,coxCopingGlobalMarketplace2009,No specific method identified,Coping in a Global Marketplace: Survival Strategies for a 75-Year-Old SEC
2009,coxIntroductionEngineeringRisk2009,Probabilistic Methods,Introduction to Engineering Risk Analysis
2009,coxQuantitativeRiskAssessment2009,Probabilistic Methods,"Home Risk Analysis of Complex and Uncertain Systems Chapter Quantitative Risk Assessment Goals and Challenges Louis Anthony Cox Jr Chapter First Online: 01 January 2009 1831 Accesses Part of the International Series in Operations Research \& Management Science book series (ISOR,volume 129) How should societies, organizations, and individuals manage risks from activities with unknown or uncertain consequences"
2009,coxQuantitativeRiskAssessment2009,Delphi and Expert Judgment,Many regulators and scientists advocate quantitative risk assessment (QRA) as providing both a logical framework and a systematic procedure for organizing and applying scientific and engineering knowledge to improve ``rational'' (consequence-driven) decision making when the consequences of alternative decisions are uncertain
2009,cseresCompetitionConsumerPolicies2009,No specific method identified,Competition and Consumer Policies: Starting Points for Better Convergence
2009,daeppenPmc22DevelopmentSensitive2009,No specific method identified,Pmc22 Development of a Sensitive Resource Use Questionnaire
2009,daimFrameworkTechnologyAssessment2009,No specific method identified,A Framework for Technology Assessment: Case of a Thai Building Material Manufacturer
2009,danielImpactICTenabledOffshoring2009,No specific method identified,The Impact of ICT-enabled Offshoring Announcements on Share Prices
2009,daughtonChemicalsPracticeHealthcare2009,No specific method identified,Chemicals from the Practice of Healthcare: Challenges and Unknowns Posed by Residues in the Environment
2009,davidCollaborativeResearchEscience2009,No specific method identified,Collaborative Research in E-Science and Open Access to Information
2009,dayton-johnsonMigrationEmployment2009,No specific method identified,Migration and Employment
2009,debarrosConceptComparativeInformation2009,No specific method identified,The Concept of Comparative Information Yield Curves and Its Application to Risk-Based Site Characterization
2009,deleeuwDriversCloseSupply2009,No specific method identified,Drivers of Close Supply Chain Collaboration: One Size Fits All?
2009,deoliveiraManagingBestPredictions2009,No specific method identified,Managing without Best Predictions: The Management Strategy Evaluation Framework
2009,dhallaPerspectivesNationalInstitute2009,No specific method identified,Perspectives on the National Institute for Health and Clinical Excellence's Recommendations to Use Health Technologies Only in Research
